	city	lat	temp	humidity	wind speed	cloudiness
0	atambua	-9.11	25.41	76	4.25	80
1	chistogorskiy	53.98	0.21	69	0.42	0
2	punta arenas	-53.16	10.0	53	14.9	75
3	kaseda	31.42	26.61	83	10.35	5
4	petropavlovsk-kamchatskiy	53.05	4.0	93	2.0	100
5	jalu	29.03	27.31	26	4.39	0
6	jinka	5.79	18.51	91	2.42	83
7	tuktoyaktuk	69.44	3.0	93	2.1	75
8	bambous virieux	-20.34	23.62	83	5.1	75
9	busselton	-33.64	12.96	64	2.68	100
10	port alfred	-33.59	17.22	90	3.32	91
11	taloqan	36.74	12.71	64	0.19	0
12	bluff	-23.58	15.01	90	5.72	5
13	bidor	4.11	25.0	88	1.0	75
14	srednekolymsk	67.46	-3.89	89	8.21	77
15	manggar	-2.88	24.21	88	1.02	72
16	beringovskiy	63.05	-0.89	87	1.29	77
17	albany	42.65	16.78	88	6.2	90
18	mataura	-46.19	5.56	89	0.89	100
19	grindavik	63.84	7.58	81	11.8	75
20	hamilton	43.26	15.31	93	5.7	90
21	tambun	-6.26	25.36	78	1.5	20
22	chuy	-33.69	13.41	92	8.77	100
23	saint-philippe	45.36	11.59	76	4.6	90
24	rikitea	-23.12	17.11	81	5.17	100
25	new norfolk	-42.78	10.56	81	2.1	90
26	nome	30.04	31.17	66	3.6	90
27	kavieng	-2.57	27.31	77	2.92	36
28	hobart	-42.88	10.56	81	2.1	90
29	tezu	27.93	21.31	83	1.16	36
30	saint george	39.45	23.0	69	2.6	20
31	arraial do cabo	-22.97	25.0	61	10.3	0
32	barrow	-38.31	13.81	40	5.21	31
33	vysokogornyy	50.1	7.61	93	3.24	100
34	upernavik	72.79	1.31	71	3.611	47
35	niigata	37.91	18.09	88	1.0	83
36	nsanje	-16.92	20.71	82	4.99	99
37	qaanaaq	77.48	-2.89	82	1.15	87
38	katsuura	33.93	24.67	83	13.4	75
39	soligalich	59.08	9.51	92	3.05	100
40	yerbogachen	61.28	-1.69	85	3.89	100
41	vaini	15.34	24.61	91	0.35	80
42	buin	-33.73	14.01	47	2.1	40
43	oblivskaya	48.54	14.31	57	1.52	0
44	hermanus	-34.42	16.91	89	1.34	100
45	pittsfield	39.61	27.39	70	3.6	75
46	barras	-4.24	35.21	33	2.6	37
47	verkhoyansk	67.55	-5.49	50	2.75	100
48	vila franca do campo	37.72	22.87	83	8.7	40
49	bethel	60.79	7.67	93	3.6	90
50	tautira	-17.73	25.74	65	9.43	40
51	leningradskiy	69.38	-1.69	91	7.04	100
52	saint anthony	43.97	4.01	80	3.1	90
53	pevek	69.7	-0.89	74	5.5	100
54	avarua	-21.21	22.0	73	1.5	45
55	margate	-43.03	10.56	81	2.1	90
56	provideniya	64.42	2.71	86	5.89	89
57	mahebourg	-20.41	23.62	83	5.1	75
58	ukiah	39.15	16.27	58	1.85	1
59	ngunguru	-35.62	8.33	81	2.24	17
60	havoysund	71.0	3.0	64	7.2	75
61	tasiilaq	65.61	4.0	69	14.4	90
62	noumea	-22.28	18.73	82	1.0	75
63	otjimbingwe	-22.35	20.31	16	4.02	0
64	yellowknife	62.45	6.82	70	4.6	75
